2025-07-02 10:09:17.783 [main] INFO  com.datacenter.extract.ExtractServiceApplication - Starting ExtractServiceApplication using Java 17.0.6 with PID 66761 (/Users/admin/workspace/AGENT/extract-service/target/classes started by admin in /Users/admin/workspace/AGENT/extract-service)
2025-07-02 10:11:25.986 [ForkJoinPool.commonPool-worker-1] INFO  c.datacenter.extract.service.TextExtractionService - 🎯 开始异步文本提取 - 类型: celebrity, KG模式: standard, 数量: 1
2025-07-02 10:11:25.988 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 10 字符
2025-07-02 10:11:25.989 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:25.991 [reactor-http-nio-3] INFO  c.d.extract.controller.AsyncExtractController - 📝 收到提取请求 - 类型: celebrity, KG模式: standard, 文本长度: 29
2025-07-02 10:11:25.992 [ForkJoinPool.commonPool-worker-2] INFO  c.datacenter.extract.service.TextExtractionService - 🎯 开始异步文本提取 - 类型: celebrity, KG模式: standard, 数量: 1
2025-07-02 10:11:25.992 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 29 字符
2025-07-02 10:11:25.993 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:25.998 [reactor-http-nio-4] INFO  c.d.extract.controller.AsyncExtractController - 📝 收到提取请求 - 类型: celebrity, KG模式: standard, 文本长度: 37
2025-07-02 10:11:26.002 [ForkJoinPool.commonPool-worker-3] INFO  c.datacenter.extract.service.TextExtractionService - 🎯 开始异步文本提取 - 类型: celebrity, KG模式: standard, 数量: 1
2025-07-02 10:11:26.003 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 37 字符
2025-07-02 10:11:26.003 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:26.016 [reactor-http-nio-5] INFO  c.d.extract.controller.AsyncExtractController - 📝 收到提取请求 - 类型: celebrity, KG模式: standard, 文本长度: 25
2025-07-02 10:11:26.017 [ForkJoinPool.commonPool-worker-4] INFO  c.datacenter.extract.service.TextExtractionService - 🎯 开始异步文本提取 - 类型: celebrity, KG模式: standard, 数量: 1
2025-07-02 10:11:26.018 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 25 字符
2025-07-02 10:11:26.018 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:26.034 [reactor-http-nio-6] INFO  c.d.extract.controller.AsyncExtractController - 🔍 收到消歧义处理请求 - TaskId: f72615e5-cd2a-49d6-b202-dda7c0fea110, 类型: triples, 模式: full, 文本长度: 117
2025-07-02 10:11:26.035 [ForkJoinPool.commonPool-worker-5] INFO  c.datacenter.extract.service.TextExtractionService - 🔍 开始实体关系消歧义处理 - TaskId: f72615e5-cd2a-49d6-b202-dda7c0fea110, 类型: triples, 模式: full, 文本长度: 117
2025-07-02 10:11:26.037 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 117 字符
2025-07-02 10:11:26.037 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:26.046 [reactor-http-nio-7] INFO  c.d.extract.controller.AsyncExtractController - 🔍 收到消歧义处理请求 - TaskId: 243a7e72-2b6a-45de-bc9d-ab163dfdfff5, 类型: triples, 模式: full, 文本长度: 106
2025-07-02 10:11:26.056 [reactor-http-nio-8] INFO  c.d.extract.controller.AsyncExtractController - 🔍 收到消歧义处理请求 - TaskId: d82b1c5c-86b8-482f-bb4a-ddb508108332, 类型: triples, 模式: full, 文本长度: 82
2025-07-02 10:11:26.064 [reactor-http-nio-9] INFO  c.d.extract.controller.AsyncExtractController - 🔍 收到消歧义处理请求 - TaskId: b122f114-ffaf-421e-bdb0-72b9104ea822, 类型: triples, 模式: entity_only, 文本长度: 154
2025-07-02 10:11:26.264 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: celebrity, 文本长度: 29, 可用许可证: 4
2025-07-02 10:11:26.264 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: celebrity, 文本长度: 10, 可用许可证: 0
2025-07-02 10:11:26.264 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: celebrity, 文本长度: 37, 可用许可证: 2
2025-07-02 10:11:26.263 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: celebrity, 文本长度: 25, 可用许可证: 3
2025-07-02 10:11:26.264 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: triples, 文本长度: 117, 可用许可证: 1
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-5] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: triples
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-3] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: celebrity
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-4] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: celebrity
2025-07-02 10:11:26.265 [ForkJoinPool.commonPool-worker-1] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: celebrity
2025-07-02 10:11:26.266 [ForkJoinPool.commonPool-worker-2] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: celebrity
2025-07-02 10:11:26.279 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 10，处理模式: 直接处理
2025-07-02 10:11:26.279 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 25，处理模式: 直接处理
2025-07-02 10:11:26.279 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: celebrity
2025-07-02 10:11:26.279 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: celebrity
2025-07-02 10:11:26.279 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 37，处理模式: 直接处理
2025-07-02 10:11:26.279 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 117，处理模式: 直接处理
2025-07-02 10:11:26.278 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 29，处理模式: 直接处理
2025-07-02 10:11:26.280 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: celebrity
2025-07-02 10:11:26.280 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: celebrity
2025-07-02 10:11:26.280 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: triples
2025-07-02 10:11:26.281 [ForkJoinPool.commonPool-worker-3] INFO  c.d.extract.service.EntityDisambiguationService - 🎯 开始实体消歧义 - 类型: 张三生于1990年，李四出生在2000，王五的生日是1985-03-15。, 数量: 0
2025-07-02 10:11:26.281 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.RelationValidationService - 🔗 开始关系验证 - 类型: triples, 关系数量: 0
2025-07-02 10:11:26.281 [ForkJoinPool.commonPool-worker-2] INFO  c.d.extract.service.EntityDisambiguationService - 🎯 开始实体消歧义 - 类型: 张艺谋是著名的导演，刘德华是知名歌手，周星驰是优秀的演员。, 数量: 0
2025-07-02 10:11:26.281 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.EntityDisambiguationService - 🎯 开始实体消歧义 - 类型: 测试配置降级保护功能, 数量: 0
2025-07-02 10:11:26.281 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.EntityDisambiguationService - 🎯 开始实体消歧义 - 类型: 李安导演、张艺谋先生、王家卫老师都是杰出的电影人。, 数量: 0
2025-07-02 10:11:26.282 [ForkJoinPool.commonPool-worker-3] INFO  c.d.extract.service.EntityDisambiguationService - ✅ 实体消歧义完成 - 融合: 0, 新增: 0
2025-07-02 10:11:26.282 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.EntityDisambiguationService - ✅ 实体消歧义完成 - 融合: 0, 新增: 0
2025-07-02 10:11:26.283 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.EntityDisambiguationService - ✅ 实体消歧义完成 - 融合: 0, 新增: 0
2025-07-02 10:11:26.282 [ForkJoinPool.commonPool-worker-2] INFO  c.d.extract.service.EntityDisambiguationService - ✅ 实体消歧义完成 - 融合: 0, 新增: 0
2025-07-02 10:11:26.283 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.RelationValidationService - ✅ 关系验证完成 - 有效: 0, 融合: 0, 无效: 0
2025-07-02 10:11:26.285 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.285 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.285 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.287 [ForkJoinPool.commonPool-worker-2] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: celebrity, 数据长度: 217
2025-07-02 10:11:26.285 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.286 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.288 [ForkJoinPool.commonPool-worker-3] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: celebrity, 数据长度: 217
2025-07-02 10:11:26.288 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: celebrity, 数据长度: 217
2025-07-02 10:11:26.288 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: celebrity, 数据长度: 217
2025-07-02 10:11:26.295 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: triples_disambiguated, 数据长度: 430
2025-07-02 10:11:26.301 [ForkJoinPool.commonPool-worker-5] ERROR com.datacenter.extract.service.TemplateManager - 模板文件不存在: templates/input_triples_disambiguated.json
2025-07-02 10:11:26.320 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_celebrity_20250702_101126.json
2025-07-02 10:11:26.320 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_triples_disambiguated_20250702_101126.json
2025-07-02 10:11:26.320 [ForkJoinPool.commonPool-worker-2] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_celebrity_20250702_101126.json
2025-07-02 10:11:26.320 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_celebrity_20250702_101126.json
2025-07-02 10:11:26.320 [ForkJoinPool.commonPool-worker-3] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_celebrity_20250702_101126.json
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-5] INFO  c.datacenter.extract.service.TextExtractionService - ✅ 实体关系消歧义处理完成 - TaskId: f72615e5-cd2a-49d6-b202-dda7c0fea110, 保存: 成功
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-2] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-3] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-2] INFO  c.datacenter.extract.service.TextExtractionService - ✅ 异步文本提取完成 - 成功: 1, 失败: 0, 保存: 成功
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-1] INFO  c.datacenter.extract.service.TextExtractionService - ✅ 异步文本提取完成 - 成功: 1, 失败: 0, 保存: 成功
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-3] INFO  c.datacenter.extract.service.TextExtractionService - ✅ 异步文本提取完成 - 成功: 1, 失败: 0, 保存: 成功
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.324 [ForkJoinPool.commonPool-worker-4] INFO  c.datacenter.extract.service.TextExtractionService - ✅ 异步文本提取完成 - 成功: 1, 失败: 0, 保存: 成功
2025-07-02 10:11:26.325 [ForkJoinPool.commonPool-worker-4] INFO  c.datacenter.extract.service.TextExtractionService - 🔍 开始实体关系消歧义处理 - TaskId: b122f114-ffaf-421e-bdb0-72b9104ea822, 类型: triples, 模式: entity_only, 文本长度: 154
2025-07-02 10:11:26.325 [ForkJoinPool.commonPool-worker-1] INFO  c.datacenter.extract.service.TextExtractionService - 🔍 开始实体关系消歧义处理 - TaskId: 243a7e72-2b6a-45de-bc9d-ab163dfdfff5, 类型: triples, 模式: full, 文本长度: 106
2025-07-02 10:11:26.325 [ForkJoinPool.commonPool-worker-5] INFO  c.datacenter.extract.service.TextExtractionService - 🔍 开始实体关系消歧义处理 - TaskId: d82b1c5c-86b8-482f-bb4a-ddb508108332, 类型: triples, 模式: full, 文本长度: 82
2025-07-02 10:11:26.327 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 154 字符
2025-07-02 10:11:26.327 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 82 字符
2025-07-02 10:11:26.327 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 🚀 开始AI提取，文本长度: 106 字符
2025-07-02 10:11:26.327 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:26.327 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:26.327 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 📝 短文本，使用直接处理模式
2025-07-02 10:11:26.330 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: triples, 文本长度: 154, 可用许可证: 3
2025-07-02 10:11:26.330 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: triples, 文本长度: 106, 可用许可证: 4
2025-07-02 10:11:26.330 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.AIModelCaller - 🎯 开始AI调用 - 类型: triples, 文本长度: 82, 可用许可证: 2
2025-07-02 10:11:26.332 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.332 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.332 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.AIModelCaller - 🎭 开发模式：返回模拟AI响应
2025-07-02 10:11:26.332 [ForkJoinPool.commonPool-worker-4] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: triples
2025-07-02 10:11:26.332 [ForkJoinPool.commonPool-worker-1] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: triples
2025-07-02 10:11:26.332 [ForkJoinPool.commonPool-worker-5] WARN  com.datacenter.extract.service.AIModelCaller - 🔄 启用降级响应模式，类型: triples
2025-07-02 10:11:26.337 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 154，处理模式: 直接处理
2025-07-02 10:11:26.337 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 82，处理模式: 直接处理
2025-07-02 10:11:26.337 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - ✅ AI提取成功，文本长度: 106，处理模式: 直接处理
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: triples
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: triples
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 开始知识图谱增强处理 - 类型: triples
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.RelationValidationService - 🔗 开始关系验证 - 类型: triples, 关系数量: 0
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.RelationValidationService - 🔗 开始关系验证 - 类型: triples, 关系数量: 0
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.RelationValidationService - 🔗 开始关系验证 - 类型: triples, 关系数量: 0
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.RelationValidationService - ✅ 关系验证完成 - 有效: 0, 融合: 0, 无效: 0
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.RelationValidationService - ✅ 关系验证完成 - 有效: 0, 融合: 0, 无效: 0
2025-07-02 10:11:26.338 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.RelationValidationService - ✅ 关系验证完成 - 有效: 0, 融合: 0, 无效: 0
2025-07-02 10:11:26.339 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.339 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.339 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.SmartAIProvider - 🔗 知识图谱增强处理完成
2025-07-02 10:11:26.339 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: triples_disambiguated, 数据长度: 430
2025-07-02 10:11:26.340 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: triples_disambiguated, 数据长度: 397
2025-07-02 10:11:26.340 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.FileBasedProcessingService - 开始处理提取结果 - 类型: triples_disambiguated, 数据长度: 430
2025-07-02 10:11:26.341 [ForkJoinPool.commonPool-worker-5] ERROR com.datacenter.extract.service.TemplateManager - 模板文件不存在: templates/input_triples_disambiguated.json
2025-07-02 10:11:26.341 [ForkJoinPool.commonPool-worker-4] ERROR com.datacenter.extract.service.TemplateManager - 模板文件不存在: templates/input_triples_disambiguated.json
2025-07-02 10:11:26.341 [ForkJoinPool.commonPool-worker-1] ERROR com.datacenter.extract.service.TemplateManager - 模板文件不存在: templates/input_triples_disambiguated.json
2025-07-02 10:11:26.342 [ForkJoinPool.commonPool-worker-4] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_triples_disambiguated_20250702_101126.json
2025-07-02 10:11:26.343 [ForkJoinPool.commonPool-worker-1] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_triples_disambiguated_20250702_101126.json
2025-07-02 10:11:26.343 [ForkJoinPool.commonPool-worker-5] INFO  com.datacenter.extract.service.OutputFileService - 成功保存提取结果到文件: out/out_triples_disambiguated_20250702_101126.json
2025-07-02 10:11:26.345 [ForkJoinPool.commonPool-worker-1] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.345 [ForkJoinPool.commonPool-worker-5] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
2025-07-02 10:11:26.345 [ForkJoinPool.commonPool-worker-4] INFO  c.d.extract.service.FileBasedProcessingService - ✅ 成功处理并保存提取结果到文件系统
